,plotRatio,transactionDate,floorPrice,time,price
240,1.4,2014.844292237443,1333,2015.4276255707764,13000
241,1.4,2014.844292237443,1333,2015.5,13000
242,1.4,2014.844292237443,1333,2015.657305936073,13000
243,1.4,2014.844292237443,1333,2015.7406392694065,13000
244,1.4,2014.844292237443,1333,2016.2965753424658,9500
245,1.4,2014.844292237443,1333,2016.4155251141551,9500
246,1.4,2014.844292237443,1333,2016.4961187214612,9500
247,1.4,2014.844292237443,1333,2016.6858447488585,9500
248,1.4,2014.844292237443,1333,2016.9577625570778,9500
249,1.4,2014.844292237443,1333,2017.027397260274,9500
250,1.4,2014.844292237443,1333,2017.1052511415523,13000
251,1.4,2014.844292237443,1333,2017.2022831050228,13000
252,1.4,2014.844292237443,1333,2017.2828767123287,13000
253,1.4,2014.844292237443,1333,2017.3607305936073,13000
254,1.4,2014.844292237443,1333,2017.4495433789955,12000
255,1.4,2014.844292237443,1333,2017.527397260274,15000
256,1.4,2014.844292237443,1333,2017.602511415525,15000
257,1.4,2014.844292237443,1333,2017.674885844749,15000
258,1.4,2014.844292237443,1333,2017.771917808219,15000
259,1.4,2014.844292237443,1333,2017.8470319634703,15000
260,1.75,2015.7746575342467,2352,2015.919406392694,5400
261,1.75,2015.7746575342467,2352,2016.0164383561644,5400
262,1.75,2015.7746575342467,2352,2016.0860730593606,5400
263,1.75,2015.7746575342467,2352,2016.169406392694,5400
264,1.75,2015.7746575342467,2352,2016.2664383561644,5400
265,1.75,2015.7746575342467,2352,2016.3607305936073,5400
266,1.75,2015.7746575342467,2352,2016.4358447488585,5400
267,1.75,2015.7746575342467,2352,2016.5191780821917,5400
268,1.75,2015.7746575342467,2352,2016.5833333333333,5200
269,1.75,2015.7746575342467,2352,2016.6627853881278,5200
270,1.75,2015.7746575342467,2352,2016.7214611872148,5500
271,1.75,2015.7746575342467,2352,2016.7993150684931,5600
272,1.75,2015.7746575342467,2352,2016.8771689497717,5600
273,1.75,2015.7746575342467,2352,2016.9577625570778,5600
274,1.75,2015.7746575342467,2352,2017.0301369863014,5600
275,1.75,2015.7746575342467,2352,2017.10799086758,5600
276,1.75,2015.7746575342467,2352,2017.5630136986301,7300
277,1.75,2015.7746575342467,2352,2018.1885844748858,9000
278,1.75,2015.7746575342467,2352,2018.291095890411,9000
279,1.7,2016.9906392694065,6000,2018.1134703196346,11000
280,1.7,2016.9906392694065,6000,2018.1995433789955,10200
281,1.7,2016.9906392694065,6000,2018.3020547945205,11000
282,1.7,2016.9906392694065,6000,2018.338812785388,11000
283,1.75,2015.2132420091325,1329,2015.2691780821917,6500
284,1.75,2015.2132420091325,1329,2015.521917808219,6500
285,1.75,2015.2132420091325,1329,2015.6271689497717,6300
286,1.75,2015.2132420091325,1329,2015.669406392694,6300
287,1.75,2015.2132420091325,1329,2015.7801369863014,6500
288,1.75,2015.2132420091325,1329,2015.844292237443,6200
289,1.75,2015.2132420091325,1329,2015.9522831050228,6200
290,1.75,2015.2132420091325,1329,2016.0493150684931,6200
291,1.75,2015.2132420091325,1329,2016.1326484018264,6500
292,1.75,2015.2132420091325,1329,2016.1940639269408,6700
293,1.75,2015.2132420091325,1329,2016.2883561643835,6700
294,1.75,2015.2132420091325,1329,2016.3552511415523,6700
295,1.75,2015.2132420091325,1329,2016.4550228310502,6700
296,1.75,2015.2132420091325,1329,2016.535616438356,6500
297,1.75,2015.2132420091325,1329,2016.629908675799,6500
298,1.75,2015.2132420091325,1329,2016.7351598173516,6400
299,1.75,2015.2132420091325,1329,2016.8020547945205,6400
300,1.75,2015.2132420091325,1329,2016.879908675799,6400
301,1.75,2015.2132420091325,1329,2016.9468036529681,6400
302,1.75,2015.2132420091325,1329,2017.0602739726028,6400
303,1.75,2015.2132420091325,1329,2017.1353881278537,6400
304,1.75,2015.2132420091325,1329,2017.2077625570778,6500
305,1.75,2015.2132420091325,1329,2017.3130136986301,7500
306,1.75,2015.2132420091325,1329,2017.3908675799087,7500
307,1.75,2015.2132420091325,1329,2017.4659817351599,7500
308,1.75,2015.2132420091325,1329,2017.5712328767124,7500
309,1.75,2015.2132420091325,1329,2017.6831050228311,9000
310,2.7,2014.3102739726028,9350,2016.3267123287671,10800
311,2.7,2014.3102739726028,9350,2016.419406392694,11000
312,2.7,2014.3102739726028,9350,2016.5164383561644,11000
313,2.7,2014.3102739726028,9350,2016.602511415525,11000
314,2.7,2014.3102739726028,9350,2016.6858447488585,12000
315,2.7,2014.3102739726028,9350,2016.7691780821917,13500
316,2.7,2014.3102739726028,9350,2016.8552511415523,13000
317,2.7,2014.3102739726028,9350,2016.9522831050228,13000
318,2.7,2014.3102739726028,9350,2017.0465753424658,13000
319,2.7,2014.3102739726028,9350,2017.1545662100457,17000
320,2.7,2014.3102739726028,9350,2017.6600456621004,20000
321,2.7,2014.3102739726028,9350,2017.7324200913242,20000
322,2.7,2014.3102739726028,9350,2017.804794520548,20000
323,2.0,2011.9495433789955,1525,2016.6463470319634,6100
324,2.0,2011.9495433789955,1525,2016.7242009132422,6100
325,2.0,2011.9495433789955,1525,2016.7801369863014,6100
326,2.0,2011.9495433789955,1525,2016.8607305936073,6100
327,2.0,2011.9495433789955,1525,2016.9495433789955,6100
328,2.0,2011.9495433789955,1525,2017.0246575342467,6600
329,2.0,2011.9495433789955,1525,2017.102511415525,6600
330,2.0,2011.9495433789955,1525,2017.1885844748858,6600
331,2.0,2011.9495433789955,1525,2017.2801369863014,7500
332,2.0,2011.9495433789955,1525,2017.3607305936073,7500
333,2.0,2011.9495433789955,1525,2017.4385844748858,7500
334,2.0,2011.9495433789955,1525,2017.5164383561644,7500
335,1.5,2015.285616438356,1310,2016.094292237443,6300
336,1.5,2015.285616438356,1310,2016.1666666666667,6000
337,1.5,2015.285616438356,1310,2016.25,6000
338,1.5,2015.285616438356,1310,2016.338812785388,6000
339,1.5,2015.285616438356,1310,2016.4127853881278,6000
340,1.5,2015.285616438356,1310,2016.4933789954339,6000
341,1.5,2015.285616438356,1310,2016.5833333333333,6000
342,1.5,2015.285616438356,1310,2016.6600456621004,6000
343,1.5,2015.285616438356,1310,2016.7461187214612,6500
344,1.5,2015.285616438356,1310,2016.8239726027398,8000
345,1.5,2015.285616438356,1310,2016.907305936073,8000
346,1.5,2015.285616438356,1310,2016.9851598173516,8000
347,1.5,2015.285616438356,1310,2017.0602739726028,8000
348,1.5,2015.285616438356,1310,2017.1353881278537,8000
349,1.5,2015.285616438356,1310,2017.2187214611872,8000
350,1.5,2015.285616438356,1310,2017.3020547945205,10000
351,1.5,2015.285616438356,1310,2017.3990867579907,8000
352,1.5,2015.285616438356,1310,2017.4742009132422,8000
353,1.5,2015.285616438356,1310,2017.5684931506848,10000
354,1.5,2015.285616438356,1310,2017.6627853881278,10000
355,2.8,2014.5054794520547,4720,2015.9468036529681,12000
356,2.8,2014.5054794520547,4720,2016.054794520548,12000
357,2.8,2014.5054794520547,4720,2016.143607305936,12000
358,2.8,2014.5054794520547,4720,2016.2214611872148,12000
359,2.8,2014.5054794520547,4720,2016.3020547945205,12000
360,2.8,2014.5054794520547,4720,2016.3853881278537,12000
361,2.8,2014.5054794520547,4720,2016.4605022831051,12000
362,2.8,2014.5054794520547,4720,2016.5465753424658,12000
363,2.8,2014.5054794520547,4720,2016.6134703196346,12000
364,2.8,2014.5054794520547,4720,2016.6940639269408,12000
365,2.8,2014.5054794520547,4720,2016.7691780821917,13000
366,2.8,2014.5054794520547,4720,2016.852511415525,12500
367,2.8,2014.5054794520547,4720,2016.9742009132422,13000
368,2.8,2014.5054794520547,4720,2017.0301369863014,13000
369,2.8,2014.5054794520547,4720,2017.1189497716894,13000
370,2.8,2014.5054794520547,4720,2017.1721461187215,14000
371,2.8,2014.5054794520547,4720,2017.263698630137,14000
372,1.7,2016.9906392694065,6000,2018.116210045662,11000
373,1.7,2016.9906392694065,6000,2018.1995433789955,10200
374,1.7,2016.9906392694065,6000,2018.3020547945205,11000
375,1.7,2016.9906392694065,6000,2018.338812785388,11000
376,3.5,2014.6216894977167,1463,2017.4468036529681,9000
377,1.75,2015.6831050228311,4450,2016.594292237443,18000
378,2.0,2013.9851598173516,5200,2017.4155251141551,16700
379,1.95,2013.8267123287671,7950,2017.4155251141551,16700
380,2.5,2015.1803652968038,1775,2017.7406392694065,12000
381,5.25,2013.907305936073,1000,2018.10799086758,8300
382,2.5,2016.0915525114156,6710,2017.5630136986301,17300
383,5.25,2013.907305936073,685,2017.4166666666667,6500
384,5.25,2013.907305936073,685,2017.4166666666667,6500
385,5.0,2013.907305936073,2629,2018.0833333333333,11000
